name,cuisine,rating,cost,address
Amrender Tiwari Dhaba,North Indian,0,150,"232/B, Near SBI Bank, Okhla Phase 3, New Delhi"
Apna Food Plus And Caterers,Street Food,0,100,"1/7184, Shivaji Park Circle, Babarpur Road, Rohitash Nagar East, Shahdara, New Delhi"
Egg King,Burger,0,100,"House 72, Gali 1, Govindpuri, Kalkaji, New Delhi"
Natural & Fresh,"Pizza, Fast Food, Ice Cream, Desserts, Beverages",0,300,"10/77, Double Storey Quarter, Kabool Nagar, Shahdara, New Delhi"
Grahni Desi Tadka,North Indian,0,250,"Gali 2, Near Bhagat Chandra Hospital, Palam, New Delhi"
Lakku Food Factory,"Pizza, Fast Food",3.5,300,"J-3/104, DDA Flats, Kalkaji, New Delhi"
Uttrakhand Hotel,North Indian,0,100,"17/161, Jalebi Chowk Road, Mayur Vihar Phase 2, New Delhi"
Kulcha Centre,North Indian,3.9,200,"MCD Booth, Near Vardhman Plaza, Gujranwala Town, New Delhi"
Hand Shake,"Fast Food, Street Food, Burger, Sandwich, Beverages, Shake",0,150,"House 2251, Left Portion, Upper Ground Floor, BM-7, New Ranjit Nagar, Shadipur, New Delhi"
Pappu Dhaba,North Indian,0,150,"Old Double Story, Lajpat Nagar 4, New Delhi"
Butwal Fast Food,Chinese,0,300,"Shop C 37, Sadiq Nagar Market, Siri Fort Road, New Delhi"
Bewafa Momo,Momos,3.6,150,"Shop 2/B7/13, Sector 11, Rohini, New Delhi"
Basha Momos,"Momos, Fast Food, North Indian",3.8,200,"Commercial Bank 2, Ground Floor, Block A, Local Shopping Centre, Naraina, New Delhi"
Special Shahi Muradabadi & Hyderabadi Chicken Corner,Hyderabadi,4,400,"Building 37, Opposite Nagarro, Sector 18, Udyog Vihar, Gurgaon"
Kunal Egg Corner,Street Food,4,150,"8092, Multani Dhanda, Gali 7, Paharganj, New Delhi"
Zaika-A-Lucknowi,"North Indian, Chinese",0,300,"Shop P-41, Duplex Flats, Block P, Sector 23, Sanjay Nagar, Govind Puram, Ghaziabad"
The Cheesy Nation,"Burger, Pizza, Sandwich, Pasta",0,350,"Shop G-8A, Khasra 105/19, Som Bazar Road, Madhu Vihar, New Delhi"
Thali Wala,"North Indian, Street Food",0,200,"Udyog Vihar, Gurgaon"
Chawla's Chicken Shawarma,"Rolls, Burger, Shawarma",4,200,"A-193, Karampura, New Delhi"
Wafflicks,Desserts,0,250,"C-65, Sector 14, Prashant Vihar, New Delhi"
